Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Years_Established
FDV45,16.75,Low Fat,-3.0959738246069337,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4693.89,12
NCL18,13.384736495388669,Low Fat,-1.2261578868159935,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,583.2408,36
FDR12,12.277108208955223,Regular Fat,-3.4615193967686193,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,3091.9752,36
FDG20,15.5,Regular Fat,-2.068312816297393,Fruits and Vegetables,177.0028,OUT017,Medium,Tier 2,Supermarket Type1,2479.4392,14
FDZ55,6.055,Low Fat,-3.672852652165199,Fruits and Vegetables,160.99200000000002,OUT035,Small,Tier 2,Supermarket Type1,2716.4640000000004,17
FDQ49,12.768202247191004,Regular Fat,-3.2427158279084165,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,3285.723,36
FDN33,6.305,Regular Fat,-2.0946301955014843,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,661.8052,24
FDN27,20.85,Low Fat,-3.228320132272832,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504,22
FDW20,20.75,Low Fat,-3.208401052350685,Fruits and Vegetables,122.17299999999999,OUT010,Medium,Tier 3,Grocery Store,369.519,23
DRG27,8.895,Low Fat,-2.251187749519789,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346,22
DRI25,19.6,Low Fat,-3.38227175646698,Soft Drinks,55.1614,OUT045,Medium,Tier 2,Supermarket Type1,1381.535,19
FDA44,19.7,Low Fat,-2.9334590913602523,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,622.523,17
NCR17,9.8,Low Fat,-3.7140452326296507,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,1274.3412,17
FDU04,12.867061281337046,Low Fat,-4.6341258851328755,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,487.3656,36
FDF41,12.15,Low Fat,-2.0296327574324127,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73,22
FDB56,8.75,Regular Fat,-2.595439317996435,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,3755.112,17
NCP18,13.384736495388669,Low Fat,-3.5592640841069216,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,4363.6532,36
FDB56,8.75,Regular Fat,-2.595250213566961,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,1314.2892,24
FDT28,13.3,Low Fat,-2.7536478936364226,Frozen Foods,151.0708,OUT045,Medium,Tier 2,Supermarket Type1,1805.6496,19
FDD10,12.987879554655873,Regular Fat,-3.0835185907322207,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,2854.9504,36
FDW57,8.31,Regular Fat,-2.155396682183682,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616,22
DRB48,16.75,Regular Fat,-3.6955896773895254,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,667.7974,34
FDP09,19.75,Low Fat,-3.3805742381403245,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,3185.853,12
FDH14,17.1,Regular Fat,-3.0625218597718282,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,2247.7408,34
FDA47,10.5,Regular Fat,-2.1492058363514412,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,1794.3310000000001,34
FDG12,6.635,Regular Fat,-5.466926174318595,Baking Goods,121.3098,OUT045,Medium,Tier 2,Supermarket Type1,2530.7058,19
DRE60,11.847459893048129,Low Fat,-1.276636422625162,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,679.1160000000001,36
DRK49,14.15,Low Fat,-3.326633517014639,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,812.2760000000001,34
FDD03,13.3,Low Fat,-2.528153256305752,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09,24
FDS52,8.89,Low Fat,-5.202011137510944,Frozen Foods,102.4016,OUT017,Medium,Tier 2,Supermarket Type1,2732.4432,14
FDW39,12.81734421364985,Regular Fat,-2.739148654097914,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,176.437,36
FDX34,12.987879554655873,Low Fat,-2.636144458147552,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,4097.3332,36
FDV11,9.1,Regular Fat,-2.589793067847855,Breads,173.2054,OUT045,Medium,Tier 2,Supermarket Type1,3151.8972,19
FDD17,7.5,Low Fat,-3.421063064146272,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265,22
FDZ16,16.85,Regular Fat,-1.8278423734967393,Frozen Foods,192.4478,OUT017,Medium,Tier 2,Supermarket Type1,4843.695,14
FDZ46,7.485,Low Fat,-2.6720464356271587,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,2542.0244,17
DRA12,11.6,Low Fat,-3.189863166881915,Soft Drinks,140.3154,OUT017,Medium,Tier 2,Supermarket Type1,2552.6772,14
FDY58,11.65,Low Fat,-3.2168480571794484,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,1141.847,12
NCF19,13.0,Low Fat,-3.3436649144555575,Household,47.5034,OUT017,Medium,Tier 2,Supermarket Type1,680.4476,14
DRJ13,12.65,Low Fat,-2.76433730699414,Soft Drinks,159.0578,OUT045,Medium,Tier 2,Supermarket Type1,2085.9514,19
FDB14,20.25,Regular Fat,-1.7606167899434182,Canned,92.512,OUT010,Medium,Tier 3,Grocery Store,186.424,23
FDJ38,8.6,Regular Fat,-3.2139397274664567,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,3036.048,17
FDW11,12.6,Low Fat,-3.0147517220147932,Breads,62.7194,OUT017,Medium,Tier 2,Supermarket Type1,866.8716,14
FDL40,17.7,Low Fat,-4.4558057993522455,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,868.8689999999999,17
DRI49,14.15,Low Fat,-1.6955008575093196,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,1137.1864,24
FDV38,19.25,Low Fat,-2.2793616664462135,Dairy,52.7956,OUT017,Medium,Tier 2,Supermarket Type1,928.1252,14
DRG23,8.88,Low Fat,-2.445197744281539,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,762.341,34
NCP30,20.5,Low Fat,-3.4162557824191175,Household,40.2822,OUT045,Medium,Tier 2,Supermarket Type1,707.0796,19
FDY25,12.305705009276437,Low Fat,-3.3870012354688477,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,7968.2944,36
NCH54,13.5,Low Fat,-2.621838743963173,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,1438.128,24
NCR53,13.14231395348837,Low Fat,-1.9355940920188126,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,6976.2524,36
FDS52,8.89,Low Fat,-4.692558070211311,Frozen Foods,101.7016,OUT010,Medium,Tier 3,Grocery Store,101.2016,23
FDG02,7.855,Low Fat,-4.482329915284699,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,952.0939999999999,12
NCO26,7.235,Low Fat,-2.565826578107086,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,1969.4364,24
FDH35,13.69073076923077,Low Fat,-2.814129708505999,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,5262.4832,36
FDB51,6.92,Low Fat,-3.256264605035838,Dairy,60.5852,OUT045,Medium,Tier 2,Supermarket Type1,1314.2892,19
FDX44,9.3,Low Fat,-3.1416930259147473,Fruits and Vegetables,90.8172,OUT017,Medium,Tier 2,Supermarket Type1,535.3032,14
NCN07,18.5,Low Fat,-2.867929118500619,Others,132.1284,OUT010,Medium,Tier 3,Grocery Store,263.6568,23
NCC31,8.02,Low Fat,-3.918710064050603,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,1402.1748,17
NCX54,9.195,Low Fat,-3.029667267168158,Household,105.1622,OUT017,Medium,Tier 2,Supermarket Type1,1693.7952,14
NCO55,12.8,Low Fat,-2.3944607724525935,Others,105.5938,OUT045,Medium,Tier 2,Supermarket Type1,2143.876,19
NCC30,16.6,Low Fat,-3.589139970900166,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.5159999999996,22
FDI16,14.0,Regular Fat,-2.0529345136980384,Frozen Foods,53.06399999999999,OUT035,Small,Tier 2,Supermarket Type1,905.488,17
FDP16,18.6,Low Fat,-3.2351081846610983,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,7370.406,22
FDB11,16.0,Low Fat,-2.7995649466880494,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,6301.1312,17
NCB06,17.6,Low Fat,-2.4971836324776255,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,1597.92,17
FDA45,21.25,Low Fat,-1.8620727184587405,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,529.311,17
NCO26,7.235,Low Fat,-2.5660156907928955,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,1969.4364,17
DRJ25,14.6,Low Fat,-1.8877032287015962,Soft Drinks,50.3692,OUT017,Medium,Tier 2,Supermarket Type1,1034.6532,14
FDR28,13.85,Regular Fat,-3.6495827438485087,Frozen Foods,161.52100000000002,OUT018,Medium,Tier 3,Supermarket Type2,1794.3310000000001,12
FDI04,13.65,Regular Fat,-2.614430808965009,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,2768.3964,12
DRK12,11.847459893048129,Low Fat,-3.177650367749927,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,898.83,36
FDX20,7.365,Low Fat,-3.1568345129136457,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,3169.208,24
NCI18,18.35,Low Fat,-4.26291782934972,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,3589.9936,12
FDB36,5.465,Regular Fat,-3.3617393161846603,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,262.3252,12
FDN13,18.6,Low Fat,-1.8778509378268173,Breakfast,99.8358,OUT017,Medium,Tier 2,Supermarket Type1,1910.1802,14
DRD24,13.85,Low Fat,-3.4747597273124793,Soft Drinks,140.9154,OUT017,Medium,Tier 2,Supermarket Type1,1701.7848,14
FDQ28,14.0,Regular Fat,-2.8071507512929785,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,2471.4496,34
FDM22,14.0,Regular Fat,-3.1719242546391158,Snack Foods,54.763999999999996,OUT013,High,Tier 3,Supermarket Type1,1331.6,34
FDR07,13.224769381746812,Low Fat,-2.559189375056312,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,1808.9786,36
FDV25,5.905,Low Fat,-3.082637234387839,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,3315.684,12
DRF49,7.27,Low Fat,-2.6439782716140945,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,2618.5914,24
FDW51,6.155,Regular Fat,-2.35746511727699,Meat,214.55599999999998,OUT046,Small,Tier 1,Supermarket Type1,2769.728,24
DRL01,19.5,Regular Fat,-2.55607396652556,Soft Drinks,233.4958,OUT017,Medium,Tier 2,Supermarket Type1,5375.0034,14
FDP25,15.2,Low Fat,-3.847759037601886,Canned,216.8824,OUT017,Medium,Tier 2,Supermarket Type1,2838.9712,14
FDL50,12.15,Regular Fat,-3.1585937558339183,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,1743.0644,12
NCB30,13.384736495388669,Low Fat,-3.666002107634798,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,5555.4352,36
FDW11,12.6,Low Fat,-3.016326894394277,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,619.194,12
NCM43,14.5,Low Fat,-3.9387937658727306,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,2120.573,17
FDK44,16.6,Low Fat,-2.0962308811712105,Fruits and Vegetables,173.0738,OUT017,Medium,Tier 2,Supermarket Type1,3823.0236,14
FDM15,11.8,Regular Fat,-2.8581675781415066,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,1360.2294,34
FDS31,13.1,Regular Fat,-3.1200355876001744,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,3969.4996,34
FDI32,17.7,Low Fat,-1.2314625350397068,Fruits and Vegetables,115.1834,OUT010,Medium,Tier 3,Grocery Store,345.5502,23
FDR47,17.85,Low Fat,-2.6580090625847155,Breads,196.5794,OUT010,Medium,Tier 3,Grocery Store,585.2382,23
FDB35,12.3,Regular Fat,-2.7372211923021785,Starchy Foods,92.6804,OUT045,Medium,Tier 2,Supermarket Type1,1010.6844,19
NCU05,11.8,Low Fat,-2.3196049017240394,Health and Hygiene,81.4618,OUT010,Medium,Tier 3,Grocery Store,161.1236,23
DRY23,11.847459893048129,Regular Fat,-1.6554103194625305,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,42.6112,36
FDO24,11.1,Low Fat,-1.7340206921647598,Baking Goods,157.4604,OUT045,Medium,Tier 2,Supermarket Type1,3010.7476,19
FDQ28,12.867061281337046,Regular Fat,-2.811172540013989,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,6024.1584,36
FDV39,11.3,Low Fat,-4.920613802052041,Meat,198.1426,OUT045,Medium,Tier 2,Supermarket Type1,988.7130000000001,19
NCO17,13.14231395348837,Low Fat,-2.05199399959008,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,239.688,36
FDU50,5.75,Regular Fat,-2.5888327813334246,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,1374.2112,34
FDT12,12.277108208955223,Regular Fat,-3.008181322404435,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,4739.8302,36
FDK58,11.35,Regular Fat,-3.097415204269058,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,1012.0160000000001,12
FDO08,13.224769381746812,Regular Fat,-2.362826194613754,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,657.8104,36
NCW29,14.0,Low Fat,-3.5436427171183476,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.9860000000001,22
FDE04,19.75,Regular Fat,-4.014076716817042,Frozen Foods,179.766,OUT045,Medium,Tier 2,Supermarket Type1,2336.958,19
NCB19,6.525,Low Fat,-2.4031118213595226,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932,22
FDV15,10.3,Low Fat,-1.9214146446699756,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368,22
FDL58,5.78,Regular Fat,-2.6001241731870652,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224,22
FDA08,11.85,Regular Fat,-2.9920047095609537,Fruits and Vegetables,164.1526,OUT045,Medium,Tier 2,Supermarket Type1,3124.5994,19
FDT43,16.35,Low Fat,-3.8809287806096298,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,467.3916,12
NCX06,13.384736495388669,Low Fat,-4.159774360429104,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,5070.7328,36
FDT20,10.5,Low Fat,-3.184584428358559,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,540.6296,24
FDB41,19.0,Regular Fat,-2.3298213656965423,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,992.7078,24
NCN55,14.6,Low Fat,-2.820385047630618,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,6008.845,22
FDE40,13.42606890459364,Regular Fat,-2.316038667847025,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,2105.2596,36
FDX49,12.305705009276437,Regular Fat,-2.289287390647209,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,5359.69,36
NCM53,18.75,Low Fat,-2.9536990576585906,Health and Hygiene,104.62799999999999,OUT045,Medium,Tier 2,Supermarket Type1,745.696,19
